fish_code,taxa
0,Morone saxatilis
1,Osmeridae
2,Spirinchus thaleichthys
3,Hypomesus transpacificus
4,Clupeidae
5,Alosa sapidissima
6,Dorosoma petenense
7,Ictaluridae
8,Ameiurus catus
9,Ictalurus punctatus
10,Acanthogobius flavimanus
11,Gobiidae
12,Eucyclogobius newberryi
13,Clevelandia ios
14,Engraulis mordax
15,Oncorhynchus tshawytscha
17,Lepomis gulosus
18,Ameiurus melas
19,Platichthys stellatus
20,Gasterosteus aculeatus
21,Acipenseridae
22,Acipenser transmontanus
23,Acipenser medirostrus
24,Cyprinidae
25,Notemigonus crysoleucas
26,Cyprinus carpio
27,Carassius auratus
28,Pogonichthys macrolepidotus
29,Mylopharodon conocephalus
30,Ptychocheilus grandis
31,Gambusia affinis
32,Atherinopsidae
33,Atherinops affinis
34,Atherinopsis californiensis
35,Syngnathus leptorhynchus
36,Centrarchidae
37,Lepomis cyanellus
38,Lepomis macrochirus
39,Micropterus salmoides
40,Pomoxis annularis
41,Pomoxis nigromaculatus
42,Archoplites interruptus
43,Percidae
44,Percina macrolepida
45,Embiotocidae
46,Hysterocarpus traski
47,Cymatogaster aggregata
48,Leptocottus armatus
49,Cottus asper
50,Porichthys notatus
51,Genyonemus lineatus
52,Clupea pallasi
53,Menidia beryllina
54,Ameiurus nebulosus
55,Oncorhynchus mykiss
56,Lepomis microlophus
57,Lavinia exilicauda
58,Tridentiger trigonocephalus
59,Lepidogobius lepidus
60,Petromyzontidae
61,Lampetra tridentata
62,Lampetra ayresi
63,Cottidae
64,Catostomus occidentalis
65,Lucania parva
66,Tridentiger bifasciatus
67,Hypomesus nipponensis
68,Micropterus dolomieu
69,Gillichthys mirabilis
70,Ilypnus gilberti
71,Orthodon microlepidotus
72,Notropis lutrensis
73,Pimephales promelas
74,Tridentiger barbatus
75,Tridentiger spp.
76,Symphurus atricauda
77,Micropterus punctulatus
78,Paralichthys californicus
80,Citharichthys stigmaeus
81,Sebastidae
83,Pleuronectes vetulus
84,Flatfish (Unid)
85,Psettichthys melanostictus
96,Sebastes auriculatus
99,Unknown
100,Lucania goodei
101,Pholidae
102,Mogil cephalus
103,Lepomis spp.
200,Bathymasteridae
300,Hypomesus spp.
2775,Cebidichthys violaceus
2813,Stichaeidae
2826,Apodichthys flavidus
2829,Pholis ornata
7105,Ictalurus furcatus
