"Fish.Code","Taxa"
18,"Ameiurus melas"
76,"Symphurus atricauda"
72,"Notropis lutrensis"
73,"Pimephales promelas"
74,"Tridentiger barbatus"
75,"Tridentiger spp."
7105,"Ictalurus furcatus"
103,"Lepomis spp."
2826,"Apodichthys flavidus"
2829,"Pholis ornata"
2775,"Cebidichthys violaceus"
2813,"Stichaeidae"
96,"Sebastes auriculatus"
77,"Micropterus punctulatus"
100,"Lucania goodei"
81,"Sebastidae"
101,"Pholidae"
102,"Mogil cephalus"
200,"Bathymasteridae"
300,"Hypomesus spp."
2,"Spirinchus thaleichthys"
3,"Hypomesus transpacificus"
67,"Hypomesus nipponensis"
5,"Alosa sapidissima"
6,"Dorosoma petenense"
52,"Clupea pallasi"
8,"Ameiurus catus"
9,"Ictalurus punctatus"
54,"Ameiurus nebulosus"
10,"Acanthogobius flavimanus"
12,"Eucyclogobius newberryi"
13,"Clevelandia ios"
58,"Tridentiger trigonocephalus"
66,"Tridentiger bifasciatus"
59,"Lepidogobius lepidus"
14,"Engraulis mordax"
15,"Oncorhynchus tshawytscha"
55,"Oncorhynchus mykiss"
19,"Platichthys stellatus"
20,"Gasterosteus aculeatus"
22,"Acipenser transmontanus"
23,"Acipenser medirostrus"
25,"Notemigonus crysoleucas"
26,"Cyprinus carpio"
27,"Carassius auratus"
28,"Pogonichthys macrolepidotus"
29,"Mylopharodon conocephalus"
30,"Ptychocheilus grandis"
57,"Lavinia exilicauda"
33,"Atherinops affinis"
34,"Atherinopsis californiensis"
53,"Menidia beryllina"
35,"Syngnathus leptorhynchus"
56,"Lepomis microlophus"
37,"Lepomis cyanellus"
38,"Lepomis macrochirus"
39,"Micropterus salmoides"
40,"Pomoxis annularis"
41,"Pomoxis nigromaculatus"
42,"Archoplites interruptus"
31,"Gambusia affinis"
44,"Percina macrolepida"
46,"Hysterocarpus traski"
47,"Cymatogaster aggregata"
48,"Leptocottus armatus"
49,"Cottus asper"
50,"Porichthys notatus"
51,"Genyonemus lineatus"
61,"Lampetra tridentata"
62,"Lampetra ayresi"
64,"Catostomus occidentalis"
65,"Lucania parva"
99,"Unknown"
1,"Osmeridae"
4,"Clupeidae"
7,"Ictaluridae"
11,"Gobiidae"
24,"Cyprinidae"
32,"Atherinopsidae"
36,"Centrarchidae"
43,"Percidae"
45,"Embiotocidae"
63,"Cottidae"
60,"Petromyzontidae"
70,"Ilypnus gilberti"
69,"Gillichthys mirabilis"
68,"Micropterus dolomieu"
0,"Morone saxatilis"
21,"Acipenseridae"
78,"Paralichthys californicus"
80,"Citharichthys stigmaeus"
71,"Orthodon microlepidotus"
85,"Psettichthys melanostictus"
83,"Pleuronectes vetulus"
84,"Flatfish (Unid)"
17,"Lepomis gulosus"
